cluster_min	score	zval
70	0.0946666666667	2.7
80	0.0936666666667	2.7
90	0.0929166666667	2.7
100	0.0924166666667	2.7
110	0.0	2.7
120	0.0	2.7
130	0.0	2.7
140	0.0	2.7
150	0.0	2.7
160	0.0	2.7
170	0.0	2.7
180	0.0	2.7
190	0.0	2.7
200	0.0	2.7
210	0.0	2.7
220	0.0	2.7
230	0.0	2.7
240	0.0	2.7
250	0.0	2.7
260	0.0	2.7
270	0.0	2.7
280	0.0	2.7
290	0.0	2.7
300	0.0	2.7
10	0.195833333333	2.8
20	0.1355	2.8
30	0.13425	2.8
40	0.0955833333333	2.8
50	0.0949166666667	2.8
60	0.0465	2.8
70	0.0	2.8
80	0.0	2.8
90	0.0	2.8
100	0.0	2.8
110	0.0	2.8
120	0.0	2.8
130	0.0	2.8
140	0.0	2.8
150	0.0	2.8
160	0.0	2.8
170	0.0	2.8
180	0.0	2.8
190	0.0	2.8
200	0.0	2.8
210	0.0	2.8
220	0.0	2.8
230	0.0	2.8
240	0.0	2.8
250	0.0	2.8
260	0.0	2.8
270	0.0	2.8
280	0.0	2.8
290	0.0	2.8
300	0.0	2.8
10	0.135666666667	2.9
20	0.0970833333333	2.9
